original_article,soccer_score,rugby_score,keep
pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,0.7129921317100525,0.0017873214092105627,True
mourinho expects fight to finish chelsea manager jose mourinho expects the champions league clash with barcelona to be a fight to the finish.  mourinho is relishing the first leg of the tie against his former club in the last 16 in the nou camp. he said:  i wouldn t be surprised if nothing had been decided by the last minute of the return leg and the match had to go into extra time.  i have to defend what is mine and the champions league is mine at the moment. i m the last manager to have won it.  mourinho never coached barcelona  assisting both sir bobby robson and louis van gaal. but he is not envious  insisting:  i don t have to be jealous about barcelona because they have 100 years of history and have won the european cup once.   i have been managing for five years and i have the same amount of champions league trophies to my name.  barcelona star ronaldinho admitted:  i think that it is going to be a difficult match for us because chelsea have a good team full of big stars.  i have seen chelsea a few times on television  tactically they are very good and they are very strong on the counter-attack.  they pressure very well and keep possession of the ball so it will be important that we play our own game.  i believe they are the two strongest teams in europe. nevertheless  barcelona are accustomed to playing big games at the nou camp  where they have to face the likes of real madrid each season.  it is a special game  the atmosphere in the city changes  there are lots of journalists but inside the dressing room there is not a lot of difference   ronaldinho added.  we are only thinking of winning the match with all respect to the opposition.,0.6365589499473572,0.00041302863974124193,True
boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.,0.5139415860176086,0.0018456138204783201,True
edu describes tunnel fracas arsenal s edu has lifted the lid on the scenes that followed manchester united s win over the gunners.  the brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at united boss sir alex ferguson.  i saw people being pulled apart  people pushing  pointing and shouting   he told uefa s official website.  the united players were trying to wind us up about the result but i didn t see any soup being thrown at anyone.  however  edu tried to play down the incidents  adding:  there was nothing that i haven t seen in brazilian derbies.  derby matches in brazil are worse. i like to play in games like this with this intense rivalry.  but edu was highly critical of the ferocity of some of united s challenges during the game  particularly on jose antonio reyes.  i think we were a lot fairer in the tackles than united   he said.  reyes was being kicked all over the park - they were beating up the boy and gary neville was tackling in such a way that he should have been sent off.  following the game  the football association said it would look into events in the tunnel. it also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked to explain comments he made about the referee.,0.6390182971954346,0.0008076181402429938,True
tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,0.6638166308403015,0.003843231825158,True
beckham relief as real go through david beckham expressed his relief at real madrid s passage to the champions league knockout phase.  after real s 3-0 win at roma  the england skipper admitted another season of under-achievement would not be tolerated at the bernabeu stadium. beckham said:  it s expected of madrid to get through  but it s a relief for the club and players to have won.  we lost momentum last season but we cannot afford to to go another season without winning anything.  real s finish as runners-up in their champions league group means they cannot face his old club manchester united in the next round. but real could be drawn against other premiership hopefuls  arsenal or chelsea  who won their respective groups.  it s going to be great whoever we play  even if we don t get either of the two english teams.,0.5549310445785522,0.0005164305330254138,True
mourinho takes swipe at arsenal chelsea boss jose mourinho has attempted to pile the pressure on title rivals arsenal ahead of the gunners facing newcastle on wednesday.  arsenal will play the magpies a day after chelsea beat portsmouth during a busy festive programme. and mourinho said:  they always seem to have two or three days  rest in which to recover. perhaps it s something to do with the television schedule.  all my players are tired  especially john terry.   chelsea boss jose mourinho admitted his side were  lucky  to win at fratton park but is still unhappy with the amount of games in such a short space of time during this time of year. he added:  we have had to play two matches in three days which is foreign to many of my players and  although i understand the traditions of football here at this time of year  it is not good for your health to do it.   you can sit back and smoke cigars  one after another  and it is a good life  but it is not actually good for you.  playing so many games is certainly not healthy  especially for teams who still have european commitment.,0.6499273777008057,0.00027380496612749994,True
barcelona title hopes hit by loss barcelona s pursuit of the spanish title took a blow on sunday as they fell to a 2-0 defeat at home to atletico madrid.  fernando torres gave athletico an ideal start with a goal in the first minute. ronaldino wasted a second-half chance to equalise for barca when he put a penalty wide  but torres made no such mistake with a last-minute spot-kick. the defeat  coupled with real madrid s 4-0 win over espanyol on saturday  reduces barca s lead to four points. former everton midfielder thomas gravesen scored his first goal for real in the comfortable victory at the bernabeu. zinedine zidane had opened the scoring before raul bagged a brace. gravesen  who replaced zidane  completed the scoring in the 84th minute with a low shot. david beckham  watched by sven-goran eriksson  came off in the 67th minute with a shoulder injury but should be fit for england s game against holland. england team-mate michael owen came on for raul after 76 minutes with the game already won. real have now won six consecutive primera liga games since coach wanderley luxemburgo took charge.,0.5657301545143127,0.0002261025074403733,True
reyes tricked into real admission jose antonio reyes has added to speculation linking him with a move from arsenal to real madrid after falling victim to a radio prank.  the spaniard believed he was talking to real madrid sporting director emilio butragueno when he allegedly berated his team-mates as  bad people .  i wish i was playing for real madrid   the 21-year-old told cadena cope.  hopefully it could happen. i love the way madrid play. i m not happy with the way things are.  the striker joined the gunners from seville for £17m at the start of 2004  but it has frequently been reported that he is homesick. he began the season in superb form but has struggled to maintain his high standards as arsenal have gradually lost the premiership initiative to manchester united and chelsea.  if i m not (playing for real) i m going to have to carry on playing with some bad people   he added.   i m sure there are none in the real dressing room.  i m happy madrid is interested in me because it has always been my dream since i was little to play there.  before the story surfaced  reyes had moved to play down reports linking him with the spanish giants  issuing a statement through arsenal describing the speculation as  flattering .  i have seen the stories in the media linking me with real madrid   he had said on thursday lunchtime.  but not only am i under contract at arsenal  i am happy here and committed to helping the team win more trophies.  butragueno  meanwhile  was angry at being impersonated by the radio disc jockey.  it is a disgrace  there is no foundation to this   he said.  he is an arsenal player and we have to be respectful. we have to be careful because of the rumours that appear in the news.,0.627317488193512,0.0014918381348252296,True
keegan hails comeback king fowler manchester city boss kevin keegan has praised striker robbie fowler for his landmark return to form.  the 29-year-old  out of favour at city earlier this season  took his premiership goal tally past 150 with a brace in monday s 3-2 win at norwich.  he is still a quality player and knows where the net is - we have just got to supply him with ammunition and  in the end  we did   keegan said.  he has worked hard to get back to where he is now.  the former liverpool striker  who moved to city in 2003 after a poor stint at leeds  has battled back into first-team contention after struggling with fitness at the start of the season.  fowler overtook les ferdinand on tuesday evening to become the third highest scorer of all time in the premiership  with 151 goals  and he only trails alan shearer (250) and andy cole (173). and keegan believes there is still more to come from the former england forward.  he can get better if we can supply him better   added keegan.  people want to write him off but if he has kept the articles of those people who have written him off he could throw them back at them and they would be left with a bit of egg on their face.  fowler s double strike helped city come back from two goals down to clinch a dramatic win at carrow road and keegan sympathised with norwich boss nigel worthington afterwards.  i feel a bit for nigel worthington   he said.  his team have got great character  they have a lot of drive and enthusiasm.  i know it is a killer blow for norwich but i really think they have brought something to the premiership.  the stadium and the atmosphere is great  it is just a tough league to stay in - as they are finding out and as we know.,0.6804657578468323,0.00584236579015851,True
souness backs smith for scotland graeme souness believes walter smith would be the perfect choice to succeed berti vogts as scotland manager.  souness s former assistant at rangers is hot favourite to take over from vogts  who resigned on monday.  walter is most definitely the ideal candidate for that job. he d be perfect for it   souness told bbc sport. the scottish football association has appointed tommy burns as provisional caretaker-boss for the friendly against sweden on 17 november.  he fits the bill because of his knowledge and understanding of the scotland team and football. he is experienced and has been successful.  souness added:  walter is a real football person  as i know from working with him at ibrox.  on top of all that he is a proper human being who would command the instant respect of the players and everyone involved in scottish football.  souness joined sir alex ferguson in backing smith s claims. the scottish football association is about to embark on the search for vogts successor after appointing tommy burns in a caretaker capacity. ferguson said:  he (smith) would be the outstanding candidate as far as i m concerned.  you need somebody who knows what they re doing and walter would bring a wealth of experience to the job.  the man utd boss continued:  i don t know what credentials are needed to do the job but it s a job that needs a lot of experience.  he was my assistant with scotland and here at manchester united and he has also managed glasgow rangers.  he would need to change the whole shape of scottish football and radical changes are needed.  smith was assistant to ferguson at the world cup in mexico in 1986. the former everton and rangers boss has been out of the game since a spell as manchester united assistant last term. bbc sport understands that smith would be willing to discuss taking over if he was approached by the scottish fa.  if he is tempted to take over  it seems almost certain smith s long-time right-hand man archie knox would also play a part in the national team set-up. smith already has the backing of many pundits and fans  including former scotland manager craig brown. brown said:  walter is an outstanding candidate without doubt.  he would be admirable choice. i spoke to him on sunday and i got the impression he would take it. he was asking me about it and i was positive.  other candidates for the job include former scotland midfielders gordon strachan and gary mcallister and vogts  assistant tommy burns.,0.5425943732261658,0.003230181522667408,True
liverpool revel in night of glory liverpool manager rafael benitez said their qualification for the next stage of the champions league was  one of the proudest nights of my career.   the reds beat olympiakos 3-1 with a late steven gerrard strike and benitez said:  it was a really great night.  the players ran hard all the time and you see how much it means to the fans.  we knew before the game that it was very important for the club to gain these extra finances. for liverpool  this result is very  very important.  benitez hailed gerrard for his match-winning strike four minutes from time and also the anfield crowd for sticking by their side after they had fallen a goal behind at the interval. the reds scored three second-half goals in a sensational comeback capped by gerrard s 20-yard drive. he added:  steven can play all over the pitch and he influences every part of the game.   i have said to him many times that he has the freedom because he has talent and is very important to us.  i felt that the difference between the sides was really our supporters  i cannot thank them enough.  i want to say thank-you to the supporters  they were magnificent to help us achieve this result.  gerrard admitted he thought they were going out of the champions league after trailing 1-0 at half-time. he said:  i d be lying if i thought we were going through when we were losing at half-time.   we had a mountain to climb  but we have climbed it and credit to everyone.  that was one of the best goals i have scored  i caught it sweet  i haven t caught one like that for ages. it was a massive night for me and the team.  liverpool s win means all four of england s champions league representatives have reached the knockout stages for the first time.,0.7303507924079895,0.0009768992895260453,True
clyde 0-5 celtic celtic brushed aside clyde to secure their place in the scottish cup semi-final  but only after a nervy and testing first half.  the home side s craig bryson had a goal chopped off before stan varga headed celtic into the lead. alan thompson scored from the penalty spot at the start of the second half after shaun maloney had been fouled. stilian petrov slid in a third  varga tapped in his second and craig bellamy completed the rout with a fine drive. bryn halliwell was the busier keeper early on  saving from bellamy  chris sutton and juninho. clyde had the ball in the net after half-an-hour through a tremendous strike from bryson  but the referee had already blown for a foul by petrov. from the resulting free kick  darren sheridan curled the ball round the celtic wall only for the post to deny him. back at the other end  halliwell did well to come off his line and block bellamy s effort to lift the ball over him. the keeper misjudged a corner that stephane henchoz headed wide  but a similar scenario five minutes before the break led to the opening goal. the ball was delivered from the left and halliwell was left floundering as varga glanced the ball into the net.  maloney replaced the injured sutton at half time and he marked his first competitive appearance after a year out injured by helping his side take a two-goal lead just after the break. the young striker fired a free kick straight into the clyde wall but as he collected the rebound  he was tripped by bryson and thompson converted the penalty. sheridan and bellamy were involved in something of a flare-up that led to both being booked after the intervention of the assistant referee. juninho brought out another good save from halliwell and then petrov saw a tremendous effort come off the top of the bar. but petrov and juninho combined brilliantly to allow the bulgarian to make it 3-0 on the hour mark - a quick one-two giving him the time and space to steer the ball past halliwell from 12 yards. varga got his second goal of the game as celtic drove home their advantage - thompson whipped in a corner from the right and the unmarked defender simply tapped the ball over the line from a couple of yards out. celtic were utterly dominant by this stage and bellamy opened his scoring account for the club after a fine move involving aiden mcgeady  jackie mcnamara and maloney culminated in the welshman hammering the ball into the net. halliwell kept the deficit at five by pushing a mcgeady shot wide as the game petered out.  halliwell  mensing  bollan  balmer  potter  sheridan (burns 61)  arbuckle (gilhaney 61)  gibson  bryson (jones 78)  malone  harty.  morrison  wilson.  mensing  sheridan.  douglas  henchoz  mcnamara  balde  varga  juninho paulista  thompson  lennon (lambert 70)  sutton (maloney 45)  petrov (mcgeady 70)  bellamy.  marshall  laursen.  thompson  bellamy.  : varga 40  thompson 48 pen  petrov 60  varga 68  bellamy 72.  8 200  c thomson,0.6004802584648132,0.0030680017080157995,True
uefa approves fake grass uefa says it will allow european matches to be played on artificial pitches from the start of next season.  european football s governing body made the decision at a meeting of its executive committee on wednesday. uefa explained that the move  follows comprehensive studies into the sporting and medical aspects of using artificial playing surfaces.  they can be used subject to complying with uefa quality criteria but there use will not be made obligatory. luton  preston  queens park rangers and other clubs used to have plastic pitches during the the 1980s but  after a two-year study  uefa insists the surfaces have moved on. international matches can also be played on such pitches  although games at major tournaments have to be contested on grass. uefa spokesman rob faulkner said:  people in england have bad memories of the artificial pitches of luton and qpr in the 1980s  but the latest generation are completely different and are much more like grass.  we have sanctioned its use from the start of next season but only as long as it is the latest generation of artificial turf and meets a whole series of standards.  several leading clubs from scandinavia  russia and eastern europe - especially those who only play champions league or uefa cup matches in winter - are now expected to instal artificial pitches.,0.8302603960037231,0.0011649116640910506,True
downing injury mars uefa victory middlesbrough boss steve mcclaren hopes that stewart downing did not seriously damage his hamstring during the 2-1 uefa cup win over graz ak.  the winger was carried off on a stretcher in the closing stages as boro booked their place in the last 16. mcclaren said:  stewart has tweaked a hamstring  which is a blow for us. we will assess it in the morning.  but i m delighted with the match result. they say in sport you can win ugly - and we certainly did.  mcclaren was relieved to make it through after a tough encounter at the riverside.   to be fair to graz  they had a gameplan - they knocked the ball forward  especially in the first half  and we struggled to deal with it.  in the second half we were better but it was frustrating because we got the goal - but one slip and they were back in it.  boro face sporting lisbon for a place in the quarter-finals after the portuguese side saw off feyenoord on thursday. and mcclaren added:  sporting are technically very good - portuguese sides always are.  but the journey goes on for us and we will now go to their magnificent stadium - after the first game here - we ll look forward to it.  goalscorer jimmy floyd hasselbaink added:  it wasn t a particularly beautiful match to watch - but they made it difficult for us.  we didn t play well at all. but you need a little bit of luck and i think we got that when my shot went through the legs of their goalkeeper.  i would have liked to play in holland - that would have been a little bit special to me.  but so is going back to portugal - i ll be playing against some lads i played with at boavista.,0.6698400378227234,0.0015688961138948798,True
